job_title,qualification,work_experience_years,job_description,communication_interpersonal,teamwork,problemsolving_analyticalthinking,timemanagement,leadership,creativity,stressmanagement,independent_selfmotivated
SoftwareEngineer,Diploma,3.226195916233282,This position requires soft skills,0,1,1,0,1,0,0,1
SoftwareEngineer,PostGradDiploma,1.581656722586973,This position requires soft skills,0,0,1,0,0,1,1,1
SeniorDeveloper,GradDiploma,19.12378873953392,This position requires soft skills,1,1,1,0,1,0,1,0
SeniorSoftwareEngineer,PostGradDegree,12.007536351309145,This position requires soft skills,1,1,1,1,0,1,1,1
ITManager,AdvDiploma,5.357838534816649,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorSoftwareEngineer,GradDiploma,0.6062181124736373,This position requires soft skills,1,0,1,0,0,0,1,0
ApplicationEngineer_Specialist,ProCert,6.1708096400936565,This position requires soft skills,0,1,1,0,0,0,1,1
Solution_SoftwareArchitect,Degree,12.29649373563474,This position requires soft skills,1,1,1,1,1,0,0,1
SeniorDeveloper,GradDiploma,11.734628679033943,This position requires soft skills,1,1,1,0,1,1,1,1
ProjectManager,GradDiploma,0.5709613197863314,This position requires soft skills,1,0,0,1,0,1,0,0
SeniorSoftwareEngineer,HigherDiploma,7.261782343039725,This position requires soft skills,1,1,1,0,1,1,1,0
WebDeveloper,ProCert,2.0428826357386023,This position requires soft skills,1,0,0,0,0,1,1,0
TeamLead,HigherDiploma,1.4478283812102786,This position requires soft skills,1,1,0,0,0,0,1,0
SoftwareEngineer,Diploma,2.9933272095486028,This position requires soft skills,0,0,0,0,0,0,1,0
SoftwareDeveloper,ProCert,14.262355122214625,This position requires soft skills,1,1,1,1,1,1,0,1
SoftwareQuality_TestEngineer,Diploma,0.40883833337170866,This position requires soft skills,0,0,1,0,0,1,1,0
ApplicationEngineer_Specialist,ProCert,10.127476057474915,This position requires soft skills,1,1,1,1,1,1,1,1
SystemAnalyst,NA,1.267554858907581,This position requires soft skills,1,0,0,1,1,0,1,1
SoftwareQuality_TestEngineer,Diploma,18.34703365207591,This position requires soft skills,1,1,1,1,1,0,0,0
ApplicationEngineer_Specialist,PhD,6.0422847854038935,This position requires soft skills,1,0,1,0,0,1,1,0
ITManager,NA,5.291460162530566,This position requires soft skills,0,0,1,1,0,1,0,1
TeamLead,AdvDiploma,14.307387389836281,This position requires soft skills,1,1,1,1,1,1,1,1
