job_title,qualification,work_experience_years,job_description,communication_interpersonal,teamwork,problemsolving_analyticalthinking,timemanagement,leadership,creativity,stressmanagement,independent_selfmotivated
ITManager,PostGradDegree,5.789311709057423,This position requires soft skills,0,1,1,1,1,1,1,1
SeniorSoftwareEngineer,ProDegree,4.835488465534897,This position requires soft skills,1,1,1,0,0,1,0,1
Developer_Programmer,GradDiploma,0.9325204727819395,This position requires soft skills,0,1,0,1,1,0,0,1
BusinessAnalyst,AdvDiploma,0.8659811838924404,This position requires soft skills,0,0,1,1,0,1,0,1
SeniorDeveloper,AdvDiploma,6.18096164182882,This position requires soft skills,0,1,0,0,1,1,1,1
BusinessAnalyst,HigherDiploma,3.5833142825155373,This position requires soft skills,1,1,0,1,1,0,1,1
Developer_Programmer,PostGradDegree,0.5156526471121685,This position requires soft skills,0,1,0,1,0,0,1,1
BusinessAnalyst,NA,3.6151636892035617,This position requires soft skills,1,1,1,0,1,1,1,0
SoftwareDeveloper,Diploma,9.070272421878506,This position requires soft skills,1,1,1,0,1,1,1,1
Developer_Programmer,TechCert,18.857830434790806,This position requires soft skills,1,1,1,1,1,1,1,1
WebDeveloper,PostGradDegree,7.366654373343632,This position requires soft skills,1,1,0,1,1,1,1,1
ProjectManager,PhD,7.167712570973173,This position requires soft skills,1,1,0,1,1,0,1,1
ApplicationEngineer_Specialist,Diploma,6.460078363319893,This position requires soft skills,1,1,1,1,0,0,0,1
SoftwareQuality_TestEngineer,ProDegree,0.8880135189205979,This position requires soft skills,1,0,0,1,1,0,1,1
SeniorSoftwareEngineer,ProCert,4.65631783897572,This position requires soft skills,1,0,1,1,1,0,1,1
WebDeveloper,PostGradDiploma,3.1174518829219924,This position requires soft skills,0,1,1,1,1,1,1,1
SoftwareDeveloper,Master,2.7170555311490916,This position requires soft skills,1,1,1,1,0,1,1,0
ApplicationEngineer_Specialist,PostGradDiploma,5.378636627102558,This position requires soft skills,0,1,1,0,0,1,1,1
SoftwareQuality_TestEngineer,PhD,3.1542841955106793,This position requires soft skills,1,1,0,1,0,0,1,1
ProjectManager,PostGradDiploma,1.4257734815901328,This position requires soft skills,1,0,0,1,0,0,1,0
SoftwareEngineer,ProCert,4.364522092848155,This position requires soft skills,1,1,1,0,1,0,1,1
WebDeveloper,Master,5.760060545821742,This position requires soft skills,0,1,0,0,1,0,1,1
Developer_Programmer,Diploma,1.5305507888424486,This position requires soft skills,1,1,0,1,0,1,1,0
TeamLead,HigherDiploma,1.224741399518417,This position requires soft skills,0,1,0,0,0,0,1,0
AnalystProgrammer,Degree,4.220202915918549,This position requires soft skills,1,1,1,1,1,0,0,0
TeamLead,TechCert,12.374475013177337,This position requires soft skills,1,1,0,1,0,1,1,0
WebDeveloper,GradDiploma,7.210088937471673,This position requires soft skills,0,1,0,0,0,0,0,1
AnalystProgrammer,AdvDiploma,0.5664873746795003,This position requires soft skills,1,1,0,0,1,1,0,0
ITManager,Degree,12.978227066365967,This position requires soft skills,1,1,1,0,1,1,1,1
ProjectManager,PostGradDiploma,3.9893796866194986,This position requires soft skills,1,1,1,0,0,1,1,1
SoftwareEngineer,HigherDiploma,0.4955559335986634,This position requires soft skills,1,1,0,1,0,1,0,0
ITManager,HigherDiploma,11.617371669102464,This position requires soft skills,1,1,1,1,0,1,1,1
ApplicationEngineer_Specialist,ProCert,6.325825742159198,This position requires soft skills,0,0,0,1,1,1,1,1
AnalystProgrammer,AdvDiploma,7.162668467267107,This position requires soft skills,1,0,1,1,1,1,1,1
SoftwareDeveloper,NA,1.582152047318416,This position requires soft skills,0,1,0,1,1,0,0,0
AnalystProgrammer,NA,5.0576987095285455,This position requires soft skills,0,0,1,1,1,1,1,1
SoftwareDeveloper,GradDiploma,2.365207874167527,This position requires soft skills,0,1,0,0,0,1,1,0
SoftwareQuality_TestEngineer,Master,11.61352317843282,This position requires soft skills,1,1,1,1,1,0,1,0
AnalystProgrammer,Degree,7.115333675190499,This position requires soft skills,0,1,1,1,0,0,0,0
ITManager,GradDiploma,3.3649539177278656,This position requires soft skills,0,1,0,1,0,0,0,1
AnalystProgrammer,PostGradDegree,14.459415593842678,This position requires soft skills,1,1,1,1,1,1,1,1
ApplicationEngineer_Specialist,PostGradDegree,16.996317319365048,This position requires soft skills,1,1,0,1,1,1,1,1
ProjectManager,PostGradDegree,9.598545738857778,This position requires soft skills,1,1,1,1,1,1,1,1
SystemAnalyst,ProCert,1.501816075933876,This position requires soft skills,0,0,0,1,0,0,0,0
ApplicationEngineer_Specialist,GradDiploma,2.294912340738486,This position requires soft skills,1,1,0,0,0,0,1,0
SoftwareQuality_TestEngineer,PostGradDegree,12.697327775913596,This position requires soft skills,1,1,0,1,1,1,1,1
SeniorSoftwareEngineer,PhD,8.763593451055673,This position requires soft skills,1,1,1,1,1,0,1,0
WebDeveloper,ProDegree,11.688376823157741,This position requires soft skills,1,1,1,1,1,1,1,1
Solution_SoftwareArchitect,GradDiploma,14.647138251015784,This position requires soft skills,1,0,1,1,1,1,1,0
WebDeveloper,HigherDiploma,1.3073107404917115,This position requires soft skills,1,1,1,0,0,0,1,1
SoftwareQuality_TestEngineer,ProDegree,1.2760071065628715,This position requires soft skills,1,0,1,0,0,0,1,0
SoftwareQuality_TestEngineer,ProDegree,6.951388461521535,This position requires soft skills,1,1,1,1,0,1,1,0
SoftwareQuality_TestEngineer,Diploma,7.065306714576692,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorSoftwareEngineer,PostGradDiploma,14.821198100278785,This position requires soft skills,1,1,1,1,1,1,1,1
SoftwareEngineer,Master,2.085222812338807,This position requires soft skills,1,0,0,0,1,1,1,0
BusinessAnalyst,HigherDiploma,6.456242563848448,This position requires soft skills,1,1,1,1,1,1,0,1
ProjectManager,TechCert,6.5703900175095935,This position requires soft skills,1,1,0,1,0,1,1,0
SystemAnalyst,ProDegree,8.165147145642042,This position requires soft skills,1,1,0,1,1,1,1,1
SystemAnalyst,NA,16.64147616124764,This position requires soft skills,1,1,1,1,0,1,0,0
ProjectManager,ProCert,19.380856167579516,This position requires soft skills,1,1,1,1,1,1,0,1
ITManager,TechCert,13.653830414729363,This position requires soft skills,1,1,0,1,1,0,1,1
ITManager,PostGradDegree,10.82606565841905,This position requires soft skills,0,1,1,1,1,1,1,1
SoftwareEngineer,Diploma,11.562296702177784,This position requires soft skills,1,1,1,1,1,1,1,1
SoftwareEngineer,AdvDiploma,2.2705612791653036,This position requires soft skills,1,1,0,0,1,1,0,1
ITManager,PostGradDegree,6.459361052581297,This position requires soft skills,1,0,0,0,1,1,1,1
SoftwareDeveloper,ProCert,6.264537168356897,This position requires soft skills,0,0,1,1,0,0,1,1
SoftwareQuality_TestEngineer,PostGradDegree,7.3943131903079955,This position requires soft skills,1,1,1,0,1,0,1,1
SoftwareQuality_TestEngineer,ProDegree,14.753254009221399,This position requires soft skills,0,1,0,1,0,1,1,1
ProjectManager,PostGradDegree,3.1177578016373704,This position requires soft skills,0,0,0,0,0,0,1,1
WebDeveloper,GradDiploma,9.138283351615264,This position requires soft skills,1,1,1,0,1,1,1,1
ApplicationEngineer_Specialist,NA,5.602142618586645,This position requires soft skills,0,1,0,0,0,1,0,1
SeniorSoftwareEngineer,TechCert,0.49718783743361,This position requires soft skills,1,1,1,0,0,0,0,0
SoftwareDeveloper,PostGradDegree,8.932123861336192,This position requires soft skills,1,1,1,1,1,0,1,0
ProjectManager,ProDegree,3.191582982600392,This position requires soft skills,1,1,0,1,1,1,1,1
SoftwareQuality_TestEngineer,ProDegree,6.66886781294004,This position requires soft skills,1,1,1,1,0,1,0,1
WebDeveloper,PhD,19.459743926337566,This position requires soft skills,1,1,1,0,1,0,1,1
WebDeveloper,Master,0.09811093224585007,This position requires soft skills,0,1,1,0,0,1,0,1
Developer_Programmer,PhD,1.6493873714712879,This position requires soft skills,0,1,0,0,1,1,1,1
TeamLead,ProDegree,1.5735293140411328,This position requires soft skills,1,0,1,0,0,0,1,1
ITManager,AdvDiploma,0.20884568012169616,This position requires soft skills,1,0,1,1,1,0,0,1
SeniorDeveloper,ProDegree,12.89204232346092,This position requires soft skills,1,1,1,1,1,1,1,1
BusinessAnalyst,NA,1.9781840789788294,This position requires soft skills,0,0,0,1,0,1,0,1
SoftwareEngineer,ProCert,12.454936499049673,This position requires soft skills,1,1,0,1,0,1,0,1
SeniorSoftwareEngineer,PhD,0.5591647001618909,This position requires soft skills,1,1,1,1,0,0,0,0
SeniorDeveloper,PostGradDiploma,0.5273382990500237,This position requires soft skills,1,1,0,1,1,0,0,1
AnalystProgrammer,NA,18.88999048972223,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorSoftwareEngineer,Degree,6.3220239998605585,This position requires soft skills,1,0,1,1,1,1,1,0
TeamLead,HigherDiploma,9.614025336755386,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorSoftwareEngineer,Master,4.273738499983822,This position requires soft skills,1,1,0,1,1,1,1,0
SeniorSoftwareEngineer,AdvDiploma,19.137294950206964,This position requires soft skills,1,1,1,0,1,1,0,1
SystemAnalyst,PostGradDegree,1.413971071530298,This position requires soft skills,1,0,1,1,1,0,0,0
Solution_SoftwareArchitect,PhD,4.923060425590998,This position requires soft skills,1,1,1,1,0,0,1,1
Solution_SoftwareArchitect,Master,2.725010292121682,This position requires soft skills,1,1,1,0,0,0,1,0
Solution_SoftwareArchitect,ProCert,2.9611743685021263,This position requires soft skills,1,0,0,1,0,1,1,0
SeniorDeveloper,NA,17.948047980016618,This position requires soft skills,1,1,1,1,1,1,0,1
SoftwareEngineer,PhD,6.393716941696917,This position requires soft skills,1,1,0,0,1,0,0,1
AnalystProgrammer,HigherDiploma,0.727627604697413,This position requires soft skills,0,0,1,0,1,0,1,0
SystemAnalyst,PostGradDegree,4.809678708214788,This position requires soft skills,1,1,0,1,1,1,0,1
SoftwareQuality_TestEngineer,ProDegree,2.281875902293069,This position requires soft skills,0,1,0,0,0,0,1,0
SoftwareEngineer,PostGradDegree,3.109821171276197,This position requires soft skills,1,1,0,0,1,1,0,1
ProjectManager,Diploma,13.102301666396592,This position requires soft skills,1,1,1,1,0,1,1,1
SoftwareEngineer,PhD,6.988307186957508,This position requires soft skills,1,1,1,1,1,1,0,1
ApplicationEngineer_Specialist,ProDegree,0.2765397471905379,This position requires soft skills,0,0,1,1,0,1,0,0
SoftwareDeveloper,PostGradDegree,13.657188584776279,This position requires soft skills,0,1,1,1,1,1,1,1
Developer_Programmer,Degree,1.1241680331600574,This position requires soft skills,1,0,1,0,0,1,1,0
BusinessAnalyst,ProDegree,1.7583797955765135,This position requires soft skills,1,0,1,0,1,1,1,1
ProjectManager,PhD,4.523625489187028,This position requires soft skills,0,1,1,1,1,1,0,0
WebDeveloper,Master,0.5559483055962239,This position requires soft skills,1,0,1,1,0,0,0,0
ApplicationEngineer_Specialist,PostGradDiploma,5.092153390730598,This position requires soft skills,1,1,1,0,0,1,1,1
Solution_SoftwareArchitect,Degree,10.939439259447038,This position requires soft skills,1,1,1,1,1,0,1,1
Developer_Programmer,PostGradDegree,16.092399072536416,This position requires soft skills,1,1,1,1,1,0,1,1
SoftwareDeveloper,HigherDiploma,4.481899860215563,This position requires soft skills,1,1,1,1,1,1,1,1
Solution_SoftwareArchitect,PhD,4.4642889117253555,This position requires soft skills,1,1,0,1,1,1,1,1
Developer_Programmer,Degree,3.530687559377262,This position requires soft skills,1,1,1,1,0,1,1,1
TeamLead,HigherDiploma,5.7792033138949,This position requires soft skills,1,1,1,0,1,1,0,1
SoftwareQuality_TestEngineer,AdvDiploma,1.6362362967257442,This position requires soft skills,0,1,0,1,0,0,1,0
SoftwareEngineer,Degree,3.7962596480418256,This position requires soft skills,0,1,1,1,0,0,0,1
TeamLead,HigherDiploma,4.348279209355089,This position requires soft skills,0,1,0,1,0,0,1,1
SeniorSoftwareEngineer,Diploma,0.2036136095794386,This position requires soft skills,1,1,1,0,0,0,0,0
ApplicationEngineer_Specialist,AdvDiploma,6.571896062575581,This position requires soft skills,0,1,1,1,0,1,1,1
TeamLead,Diploma,6.520212867026155,This position requires soft skills,1,1,1,1,1,0,1,0
SoftwareDeveloper,ProCert,4.17604309365164,This position requires soft skills,1,0,0,1,1,0,1,1
SystemAnalyst,GradDiploma,11.526839071966887,This position requires soft skills,1,1,0,1,0,1,1,1
